app,name,totalTime,testTime,avgCpu,maxMem
Lang,testIsAlpha,39.66,0.004999999888241291,141.68156239705883,635.3828125
Lang,testIsAlpha,39.323,0.007000000216066837,136.96651247941176,631.625
Lang,testIsAlpha,38.54,0.004999999888241291,140.7070440090909,624.140625
Lang,testIsAlpha,39.443,0.004000000189989805,139.9324744617647,617.640625
Lang,testIsAlpha,39.145,0.007000000216066837,138.43019021470587,663.16015625
Lang,testIsAlpha,39.054,0.004999999888241291,135.6806808352941,640.24609375
Lang,testIsAlpha,39.65,0.0020000000949949026,153.4843372878788,681.37890625
Lang,testIsAlpha,39.031,0.004999999888241291,135.62201397272727,652.30078125
Lang,testIsAlpha,39.973,0.004999999888241291,135.99887635294118,637.68359375
Lang,testIsAlpha,39.939,0.004999999888241291,139.5626022117647,659.89453125
