app,name,time,avgCpu,maxMem
,testInterval,63.256,160.24292077708333,990.0703125
,testInterval,59.573,147.55342581086956,974.33984375
,testInterval,57.924,153.00329877954545,930.78125
,testInterval,64.989,152.57735337346938,936.078125
,testInterval,57.339,157.71977906363637,893.046875
,testInterval,57.661,156.99520015116278,966.203125
,testInterval,59.315,153.24210895,995.98046875
,testInterval,59.911,149.04080507021277,960.296875
,testInterval,62.382,150.173459675,934.171875
,testInterval,58.099,153.41734163555554,929.140625
