app,name,totalTime,testTime,avgCpu,maxMem
Lang,testLang328,47.899,0.03099999949336052,139.00621276,613.06640625
Lang,testLang328,46.767,0.029999999329447746,139.37072733636364,629.15625
Lang,testLang328,57.948,0.0430000014603138,113.21034256666667,638.0546875
Lang,testLang328,47.498,0.032999999821186066,136.6085582647059,682.90234375
Lang,testLang328,50.525,0.06499999761581421,130.70065380789472,667.765625
Lang,testLang328,48.5,0.03700000047683716,144.9188569,699.43359375
Lang,testLang328,49.789,0.029999999329447746,133.01882076486487,699.0078125
Lang,testLang328,47.146,0.03099999949336052,140.68238217647058,612.6171875
Lang,testLang328,47.778,0.029999999329447746,134.0817478,598.09765625
Lang,testLang328,161.288,0.029999999329447746,94.96085778541666,623.89453125
