app,name,time,avgCpu,maxMem
WebApp-2,checkShowProfile,148.382,48.26140494791667,2646.6953125
WebApp-2,checkShowProfile,153.076,84.2375257,2699.67578125
WebApp-2,checkShowProfile,162.217,68.944816028,2673.875
WebApp-2,checkShowProfile,152.66,72.47980126538462,2626.70703125
WebApp-2,checkShowProfile,171.293,46.11970780810811,2707.30078125
WebApp-2,checkShowProfile,145.436,78.50670130384616,2701.890625
WebApp-2,checkShowProfile,148.756,72.475519476,2706.3359375
WebApp-2,checkShowProfile,152.791,68.61043006428571,2618.81640625
WebApp-2,checkShowProfile,186.751,68.34323657037038,2733.109375
WebApp-2,checkShowProfile,154.88,61.576685492592595,2699.75
