app,name,totalTime,testTime,avgCpu,maxMem
Math,testCluster,50.695,0.14900000393390656,159.94432874444445,932.1484375
Math,testCluster,49.941,0.13099999725818634,149.79633995909091,867.61328125
Math,testCluster,49.71,0.15199999511241913,147.7850303181818,924.8125
Math,testCluster,50.155,0.13899999856948853,150.28336374,992.26171875
Math,testCluster,49.947,0.1420000046491623,153.9811982659091,884.92578125
Math,testCluster,50.14,0.13699999451637268,152.58051963111112,931.7265625
Math,testCluster,51.106,0.13899999856948853,150.38742595777777,949.0
Math,testCluster,50.405,0.16599999368190765,146.56599072444445,959.1171875
Math,testCluster,49.86,0.15199999511241913,154.78986125227271,875.25
Math,testCluster,49.864,0.12999999523162842,147.62025743409092,968.1953125
