app,name,totalTime,testTime,avgCpu,maxMem
Time,testGetMethods,32.296,0.010999999940395355,192.82869696296297,545.1484375
Time,testGetMethods,32.168,0.009999999776482582,196.44285636923078,542.1328125
Time,testGetMethods,32.443,0.010999999940395355,198.39450522962963,527.38671875
Time,testGetMethods,31.566,0.009999999776482582,199.1784884346154,545.7265625
Time,testGetMethods,31.839,0.013000000268220901,211.743426672,552.21875
Time,testGetMethods,31.734,0.012000000104308128,201.0204922923077,538.83984375
Time,testGetMethods,32.004,0.009999999776482582,196.7132631923077,543.9765625
Time,testGetMethods,31.977,0.009999999776482582,199.1046284153846,534.90234375
Time,testGetMethods,32.451,0.010999999940395355,200.14884107307694,559.6640625
Time,testGetMethods,31.64,0.010999999940395355,205.10826428076922,543.15625
