app,name,totalTime,testTime,avgCpu,maxMem
Time,testIsContiguous_RP,40.365,0.006000000052154064,187.82201043571428,535.08203125
Time,testIsContiguous_RP,39.926,0.006000000052154064,199.18893511538462,557.22265625
Time,testIsContiguous_RP,42.45,0.006000000052154064,194.62244316551724,560.37109375
Time,testIsContiguous_RP,41.264,0.006000000052154064,189.9322298,565.53125
Time,testIsContiguous_RP,42.103,0.006000000052154064,186.71812650689654,552.25
Time,testIsContiguous_RP,46.093,0.006000000052154064,169.71727483030304,563.03125
Time,testIsContiguous_RP,39.928,0.006000000052154064,196.3484620851852,533.890625
Time,testIsContiguous_RP,46.392,0.007000000216066837,176.12555319354837,558.97265625
Time,testIsContiguous_RP,43.004,0.00800000037997961,171.20926088666667,530.3359375
Time,testIsContiguous_RP,46.183,0.006000000052154064,183.54089516774195,529.3671875
