app,name,totalTime,testTime,avgCpu,maxMem
WebApp-2,checkDownload,159.408,36.106998443603516,135.18006565,2848.609375
WebApp-2,checkDownload,167.63,34.66899871826172,127.1413991,2707.54296875
WebApp-2,checkDownload,175.295,36.26100158691406,143.1325813882353,2882.3203125
WebApp-2,checkDownload,172.486,35.3849983215332,130.82085845142856,2753.90234375
WebApp-2,checkDownload,168.486,36.14500045776367,130.91638446857144,2746.484375
WebApp-2,checkDownload,196.861,34.87699890136719,140.9847922875,2768.21484375
WebApp-2,checkDownload,186.515,36.51100158691406,119.04198070000001,2968.33203125
WebApp-2,checkDownload,174.427,36.50299835205078,134.36023939166668,2872.015625
WebApp-2,checkDownload,143.652,35.18299865722656,143.50166146764707,2931.19921875
WebApp-2,checkDownload,164.073,37.06399917602539,123.58302963513513,2758.046875
