app,name,totalTime,testTime,avgCpu,maxMem
Chart,testGenerateURL,16.045,0.054999999701976776,261.3436631454545,567.36328125
Chart,testGenerateURL,16.452,0.04899999871850014,263.8132244363636,553.86328125
Chart,testGenerateURL,16.435,0.052000001072883606,256.36290515454544,552.5625
Chart,testGenerateURL,16.212,0.050999999046325684,268.4435556363636,587.0546875
Chart,testGenerateURL,16.287,0.05000000074505806,264.2898697636364,564.6328125
Chart,testGenerateURL,16.531,0.05900000035762787,258.37139934545456,567.93359375
Chart,testGenerateURL,16.825,0.054999999701976776,264.5941310181818,552.87890625
Chart,testGenerateURL,16.321,0.05400000140070915,267.11733277272725,562.40625
Chart,testGenerateURL,16.374,0.050999999046325684,286.50521522,576.296875
Chart,testGenerateURL,16.531,0.050999999046325684,269.13722003636366,555.32421875
