app,name,totalTime,testTime,avgCpu,maxMem
Closure,testGetFunctionForAstNode,28.844,0.33000001311302185,317.77737095,1013.62890625
Closure,testGetFunctionForAstNode,33.584,0.3709999918937683,310.45549219444445,1092.9921875
Closure,testGetFunctionForAstNode,28.913,0.34599998593330383,325.72840613125004,1116.6875
Closure,testGetFunctionForAstNode,35.185,0.33399999141693115,238.70648245,1032.80078125
Closure,testGetFunctionForAstNode,29.174,0.34200000762939453,302.2226275117647,1062.44140625
Closure,testGetFunctionForAstNode,31.853,0.34299999475479126,315.70388066666663,1092.97265625
Closure,testGetFunctionForAstNode,29.541,0.3440000116825104,302.31207445882353,1056.59375
Closure,testGetFunctionForAstNode,32.249,0.32600000500679016,275.78052693157895,1018.26953125
Closure,testGetFunctionForAstNode,29.417,0.3330000042915344,317.87022409411765,1046.1171875
Closure,testGetFunctionForAstNode,29.359,0.375,320.78391513529414,1088.2265625
