app,name,totalTime,testTime,avgCpu,maxMem
Chart,testSerialization,25.363,0.08699999749660492,256.138346425,566.34375
Chart,testSerialization,27.76,0.08100000023841858,188.26870924375,563.18359375
Chart,testSerialization,28.117,0.07900000363588333,186.73964228666668,534.83203125
Chart,testSerialization,25.146,0.07900000363588333,222.65432376923076,555.18359375
Chart,testSerialization,24.092,0.07599999755620956,243.75893469166667,566.6171875
Chart,testSerialization,24.563,0.07599999755620956,250.56216694166667,567.21875
Chart,testSerialization,24.436,0.09000000357627869,255.55938096666668,560.9765625
Chart,testSerialization,24.398,0.07900000363588333,249.84203652727274,531.09765625
Chart,testSerialization,24.23,0.07999999821186066,258.9244618363636,541.0546875
Chart,testSerialization,24.703,0.07699999958276749,240.5181285909091,499.84765625
