app,name,totalTime,testTime,avgCpu,maxMem
Chart,testCloning,16.291,0.052000001072883606,264.5735009727273,564.99609375
Chart,testCloning,16.366,0.05000000074505806,284.71331331,577.90234375
Chart,testCloning,16.697,0.052000001072883606,260.17790394545455,541.78125
Chart,testCloning,16.215,0.05400000140070915,264.1686708090909,589.28125
Chart,testCloning,16.277,0.05400000140070915,266.7719838,557.08203125
Chart,testCloning,16.512,0.050999999046325684,260.5220346181818,580.63671875
Chart,testCloning,16.485,0.05299999937415123,262.9702671181818,567.51953125
Chart,testCloning,16.502,0.057999998331069946,268.12341244545456,572.8046875
Chart,testCloning,16.257,0.05299999937415123,265.0911226636364,588.953125
Chart,testCloning,16.55,0.04899999871850014,264.54479041818183,555.4375
