app,name,totalTime,testTime,avgCpu,maxMem
Closure,testRegExp,21.496,0.4410000145435333,330.61338379374996,1097.77734375
Closure,testRegExp,20.864,0.492000013589859,331.0139492125,1129.44140625
Closure,testRegExp,21.352,0.4059999883174896,328.7852754375,1080.859375
Closure,testRegExp,21.621,0.4410000145435333,330.27964184375,1064.5625
Closure,testRegExp,21.358,0.4440000057220459,332.3961573125,1044.59375
Closure,testRegExp,20.875,0.41499999165534973,335.46348710666666,1062.97265625
Closure,testRegExp,21.401,0.4090000092983246,328.78947332666667,1010.5703125
Closure,testRegExp,21.481,0.4189999997615814,329.6450224625,1092.80859375
Closure,testRegExp,21.489,0.43799999356269836,330.53447746875,1120.2890625
Closure,testRegExp,21.546,0.4230000078678131,352.94318060666666,1106.1953125
