app,name,totalTime,testTime,avgCpu,maxMem
WebApp-2,checkCreateCourse,181.352,33.72700119018555,123.97787617058823,2890.859375
WebApp-2,checkCreateCourse,171.786,35.16299819946289,125.64274004705882,2755.78515625
WebApp-2,checkCreateCourse,162.258,34.03499984741211,140.83498065588236,2858.8046875
WebApp-2,checkCreateCourse,169.726,34.555999755859375,116.40059923714286,2695.40234375
WebApp-2,checkCreateCourse,179.274,34.35200119018555,146.70524059375,2843.79296875
WebApp-2,checkCreateCourse,194.731,35.005001068115234,127.45366426,2755.27734375
WebApp-2,checkCreateCourse,120.625,33.744998931884766,126.42187206764706,2762.47265625
WebApp-2,checkCreateCourse,164.61,35.08700180053711,142.19691486944444,2922.9296875
WebApp-2,checkCreateCourse,183.736,33.78300094604492,134.886065275,2718.0703125
WebApp-2,checkCreateCourse,172.686,33.9640007019043,145.0217277125,2724.30859375
